,tem
2019-01-11 05:00:00,True
2019-01-11 19:00:00,True
2019-01-12 22:00:00,True
2019-03-09 04:00:00,True
2019-03-09 05:00:00,True
2019-03-09 06:00:00,True
2019-03-09 07:00:00,True
2019-03-09 08:00:00,True
2019-03-09 09:00:00,True
2019-03-09 10:00:00,True
2019-03-09 11:00:00,True
2019-03-09 12:00:00,True
2019-03-12 08:00:00,True
2019-03-25 06:00:00,True
2019-04-19 09:00:00,True
2019-05-10 15:00:00,True
2019-05-26 18:00:00,True
2019-05-26 19:00:00,True
2019-05-26 20:00:00,True
2019-05-26 21:00:00,True
2019-05-26 22:00:00,True
2019-05-26 23:00:00,True
2019-05-27 00:00:00,True
2019-06-02 03:00:00,True
2019-06-02 04:00:00,True
2019-06-26 11:00:00,True
2019-07-05 11:00:00,True
2019-07-05 18:00:00,True
2019-07-06 00:00:00,True
2019-07-06 03:00:00,True
2019-07-06 06:00:00,True
2019-07-06 07:00:00,True
2019-07-06 09:00:00,True
2019-07-08 08:00:00,True
2019-07-08 09:00:00,True
2019-07-08 21:00:00,True
2019-07-08 22:00:00,True
2019-08-01 15:00:00,True
2019-08-01 16:00:00,True
2019-08-21 15:00:00,True
2019-08-21 16:00:00,True
2019-08-21 17:00:00,True
2019-08-21 18:00:00,True
2019-08-21 19:00:00,True
2019-08-21 20:00:00,True
2019-08-21 21:00:00,True
2019-08-21 22:00:00,True
2019-08-21 23:00:00,True
2019-12-02 01:00:00,True
2020-01-03 03:00:00,True
2020-01-13 09:00:00,True
2020-01-13 14:00:00,True
2020-01-13 15:00:00,True
2020-01-13 20:00:00,True
2020-01-14 07:00:00,True
2020-01-14 22:00:00,True
2020-01-15 00:00:00,True
2020-01-15 07:00:00,True
2020-01-15 11:00:00,True
2020-01-15 15:00:00,True
2020-01-15 20:00:00,True
2020-01-16 02:00:00,True
2020-01-16 05:00:00,True
2020-01-16 06:00:00,True
2020-02-02 17:00:00,True
2020-02-03 00:00:00,True
2020-02-03 01:00:00,True
2020-02-03 07:00:00,True
2020-02-03 22:00:00,True
2020-02-23 01:00:00,True
2020-02-24 07:00:00,True
2020-02-25 09:00:00,True
2020-02-29 22:00:00,True
2020-02-29 23:00:00,True
2020-03-08 04:00:00,True
2020-03-08 05:00:00,True
2020-03-24 08:00:00,True
2020-03-24 09:00:00,True
2020-03-31 02:00:00,True
2020-04-23 02:00:00,True
2020-04-23 03:00:00,True
2020-04-23 15:00:00,True
2020-04-28 02:00:00,True
2020-05-25 05:00:00,True
2020-05-27 12:00:00,True
2020-06-04 16:00:00,True
2020-06-04 18:00:00,True
2020-06-05 09:00:00,True
2020-06-05 10:00:00,True
2020-06-05 11:00:00,True
2020-06-05 12:00:00,True
2020-06-05 13:00:00,True
2020-06-05 19:00:00,True
2020-06-05 22:00:00,True
2020-07-19 06:00:00,True
2020-07-22 19:00:00,True
2020-08-21 15:00:00,True
2020-08-21 16:00:00,True
2020-08-21 17:00:00,True
2020-08-21 18:00:00,True
2020-08-21 19:00:00,True
2020-08-21 20:00:00,True
2020-08-21 21:00:00,True
2020-08-21 22:00:00,True
2020-08-21 23:00:00,True
2020-08-22 00:00:00,True
2020-08-22 01:00:00,True
2020-08-22 02:00:00,True
2020-08-22 03:00:00,True
2020-09-25 04:00:00,True
2020-09-25 05:00:00,True
2020-09-25 06:00:00,True
2020-09-25 07:00:00,True
2020-09-25 08:00:00,True
2020-09-25 09:00:00,True
2020-09-30 14:00:00,True
2021-03-01 03:00:00,True
2021-03-30 04:00:00,True
2021-03-30 05:00:00,True
2021-04-01 03:00:00,True
2021-04-25 09:00:00,True
2021-04-26 05:00:00,True
2021-04-26 10:00:00,True
2021-04-28 19:00:00,True
2021-04-28 20:00:00,True
2021-04-29 02:00:00,True
2021-05-08 11:00:00,True
2021-05-13 13:00:00,True
2021-06-30 12:00:00,True
2021-07-29 16:00:00,True
2021-08-09 11:00:00,True
2021-08-16 13:00:00,True
2021-09-13 07:00:00,True
2021-09-19 15:00:00,True
2021-09-19 16:00:00,True
2021-09-19 17:00:00,True
2021-09-19 18:00:00,True
2021-09-19 19:00:00,True
2021-09-19 20:00:00,True
2021-11-07 08:00:00,True
2021-12-19 13:00:00,True
2022-01-04 07:00:00,True
2022-01-04 08:00:00,True
2022-01-04 09:00:00,True
2022-01-13 08:00:00,True
2022-01-22 04:00:00,True
2022-03-19 01:00:00,True
2022-03-24 13:00:00,True
2022-03-25 05:00:00,True
2022-05-31 08:00:00,True
2022-05-31 09:00:00,True
2022-05-31 10:00:00,True
2022-06-05 06:00:00,True
2022-06-05 07:00:00,True
2022-06-05 19:00:00,True
2022-06-05 20:00:00,True
2022-06-05 22:00:00,True
2022-06-05 23:00:00,True
2022-06-06 04:00:00,True
2022-06-06 08:00:00,True
2022-06-06 09:00:00,True
2022-06-10 04:00:00,True
2022-07-08 11:00:00,True
2022-07-08 12:00:00,True
2022-07-08 14:00:00,True
2022-07-08 15:00:00,True
2022-07-08 19:00:00,True
2022-07-08 20:00:00,True
2022-07-13 09:00:00,True
2022-07-13 10:00:00,True
2022-08-02 02:00:00,True
2022-08-20 04:00:00,True
